build_color	Color de la habitación	2016-07-03T20:30:59.196653	Room floor color:
build_corridor_desc	Conecta las habitaciones	2016-07-03T20:30:59.196653	Connects rooms
build_floors	Estilos de habitación:	2016-07-03T20:30:59.196653	NOT FOUND IN GAME
build_groups	Categorías de objetos:	2016-07-03T20:30:59.196653	Object categories:
build_objects	Objects:	2016-07-03T20:30:59.196653	NOT FOUND IN GAME
cancel_construction	Cancelar construcción	2016-07-03T20:30:59.196653	Cancel construction
cancel_destruction	Cancelar destrucción	2016-07-03T20:30:59.196653	Cancel destruction
chemistry	Química	2016-07-03T20:30:59.196653	Chemistry
construction	Construcción	2016-07-03T20:30:59.196653	Construction
corpse	Cadáver	2016-07-03T20:30:59.196653	Corpse
crew	Tripulación	2016-07-03T20:30:59.196653	Crew
crew_bridge_selector	Escoge a la tripulación de esta nave haciendo clic en las ranuras	2016-07-03T20:30:59.196653	Pick your crew for this ship by clicking in the slots
fire	Fuego	2016-07-03T20:30:59.196653	Fire
fire_desc	Un puñado de materia que experimenta una rápida y catastrófica oxidación, con cierta tendencia a expandirse.  Asustará a los robots y los seres vivos por igual. Asegúrate de tener cerca a tus bomberos y de que tienen acceso a las pilas de agua.	2016-07-03T20:30:59.196653	A bunch of matter experiencing rapid catastrophic oxidation, with some tendency to expand. It will scare robot and organic living things alike. Make sure your firefighters are nearby and have access to water item stacks.
miasma	Miasma	2016-07-03T20:30:59.196653	Miasma
miasma_desc	Una nube de hedor y enfermedad, creada por la podredumbre de la materia. Producirá pensamientos negativos y puede hacer que las personas cercanas enfermen. Asegúrate de que tienes una recicladora y limpiadores cerca del origen para retirar su origen, como cadáveres o acumulaciones de basura.	2016-07-03T20:30:59.196653	A cloud of stink and disease, created by rotting matter. It will give negative feelings and can make anybody nearby sick. Make sure you have a recycler and nearby cleaners ready to remove its origin, like corpses or litter accumulations.
research_remember	Recuerda que debes construir mesas de investigación y asignar a los oficiales el trabajo de investigación para ganar puntos de investigación.	2016-07-03T20:30:59.196653	Remember to build research desks and asign officers the Research job in order to gain research points.
ship_order_wait_time_dialog_label	Escribe el tiempo de espera en minutos, o 0 para una cantidad mínima de 10 segundos:	2016-07-03T20:30:59.196653	Type the wait time in minutes, or 0 for a minimal amount of 10 seconds:
sneaker_last_resort_alert	Un hostil oculto se ha infiltrado sin ser detectado en la estación y acaba de revelarse!	2016-07-03T20:30:59.196653	NOT FOUND IN GAME
storage_filter_disabled	Esta zona de almacenamiento está siendo utilizada como un área de descarga y no permite el filtrado de recursos	2016-07-03T20:30:59.196653	This storage area is being used as a drop area and does not allow resource filtering
tutorial_galaxy_autopilot_1	Visitar manualmente planetas para transportar carga sería muy aburrido . Por esa razón las naves espaciales están equipadas con un piloto automático . Haz clic en la nave resaltada para abrir su ventana del piloto automático.	2016-07-03T20:30:59.196653	Manually visiting planets to transport cargo would be very boring. For this reason space ships are equipped with an autopilot. Click on the highlighted ship to open its autopilot window.
tutorial_galaxy_autopilot_2	Esta es la ventana del piloto automático de la nave. Puedes añadir órdenes a su lista, reorganizarlas, establecer la duración del estacionamiento e iniciar y detener el piloto automático..\nHagamos una ruta entre el planeta tutorial y tu hogar.\nArrastra el icono resaltado a Hogar.	2016-07-03T20:30:59.196653	This is the space ship autopilot window. You can add orders to its listing, rearrange them, set the parking duration, then start and stop the autopilot.\nLet's set up a route between the tutorial planet and your home station.\nDrag the highlighted icon to Home.
